《十二諸侯年表》 Yearly Chronicle of the Feudal Lords

太史公讀春秋歷譜諜，至周厲王，未嘗不廢書而嘆也。曰：鳴呼，師摯見之矣！紂為象箸而箕子唏。周道缺，詩人本之衽席，關雎作。仁義陵遲，鹿鳴刺焉。及至厲王，以惡聞其過，公卿懼誅而禍作，厲王遂奔于彘，亂自京師始，而共和行政焉。是後或力政，彊乘弱，興師不請天子。然挾王室之義，以討伐為會盟主，政由五伯，諸侯恣行，淫侈不軌，賊臣篡子滋起矣。齊、晉、秦、楚其在成周微甚，封或百里或五十里。晉阻三河，齊負東海，楚介江淮，秦因雍州之固，四海迭興，更為伯主，文武所褒大封，皆威而服焉。是以孔子明王道，干七十餘君，莫能用，故西觀周室，論史記舊聞，興於魯而次春秋，上記隱，下至哀之獲麟，約其辭文，去其煩重，以制義法，王道備，人事浹。七十子之徒口受其傳指，為有所刺譏褒諱挹損之文辭不可以書見也。魯君子左丘明懼弟子人人異端，各安其意，失其真，故因孔子史記具論其語，成左氏春秋。鐸椒為楚威王傳，為王不能盡觀春秋，采取成敗，卒四十章，為鐸氏微。趙孝成王時，其相虞卿上采春秋，下觀近勢，亦著八篇，為虞氏春秋。呂不韋者，秦莊襄王相，亦上觀尚古，刪拾春秋，集六國時事，以為八覽、六論、十二紀，為呂氏春秋。及如荀卿、孟子、公孫固、韓非之徒，各往往捃摭春秋之文以著書，不同勝紀。漢相張蒼歷譜五德，上大夫董仲舒推春秋義，頗著文焉。

公元前	年	周	魯	齊	晉	秦	楚	宋	衛	陳	蔡	曹	鄭	燕	吳
499		二十一	十一	四十九	十三	二生躁公、懷公、簡公。	十七	十八	三十六	三	二十	三國人有夢眾君子立社宮，謀亡曹，振鐸請待公孫彊，許之。	二	六	十六
498		二十二	十二齊來歸女樂，季桓子受之，孔子行。	五十遺魯女樂。	十四	三	十八	十九	三十七伐曹。	四	二十一	四衛伐我。	三	七	十七
497	甲辰	二十三	十三	五十一	十五趙鞅伐范、中行。	四	十九	二十	三十八孔子來，祿之如魯。	五	二十二	五	四	八	十八
496		二十四	十四	五十二	十六	五	二十	二十一	三十九太子蒯聵出奔。	六孔子來。	二十三	六公孫彊好射，獻鴈，君使為司城，夢者子行。	五子產卒。	九	十九伐越，敗我，傷闔閭指，以死。
495		二十五	十五定公薨。日蝕。	五十三	十七	六	二十一滅胡。以吳敗，我倍之。	二十二鄭伐我。	四十	七	二十四	七	六伐宋。	十	吳王夫差元年
494		二十六	魯哀公將元年	五十四伐晉。	十八趙鞅圍范、中行朝歌。齊、衛伐我。	七	二十二率諸侯圍蔡。	二十三	四十一伐晉。	八吳伐我。	二十五楚伐我，以吳怨故。	八	七	十一	二伐越。
493		二十七	二	五十五輸范、中行氏粟。	十九趙鞅圍范、中行，鄭來救，我敗之。	八	二十三	二十四	四十二靈公薨。蒯聵子輒立。晉納太子蒯聵于戚。	九	二十六畏楚，私召吳人，乞遷于州來，州來近吳。	九	八救范、中行氏，與趙鞅戰於鐵，敗我師。	十二	三
492		二十八	三地震。	五十六	二十	九	二十四	二十五孔子過宋，桓魋惡之。	衛出公輒元年	十	二十七	十宋伐我。	九	燕獻公元年	四
491		二十九	四	五十七乞救范氏。	二十一趙鞅拔邯鄲、柏人，有之。	十惠公薨。	二十五	二十六	二	十一	二十八大夫共誅昭侯。	十一	十	二	五
490		三十	五	五十八景公薨。立嬖姬子為太子。	二十二趙鞅敗范中行，中行奔齊。伐衛。	秦悼公元年	二十六	二十七	三晉伐我，救范氏故。	十二	蔡成侯朔元年	十二	十一	三	六
489		三十一	六	齊晏孺子元年田乞詐立陽生，殺孺子。	二十三	二	二十七救陳，王死城父。	二十八伐曹。	四	十三吳伐我，楚來救。	二	十三宋伐我。	十二	四	七伐陳。
488		三十二	七公會吳王于繒。吳徵百牢，季康子使子貢謝之。	齊悼公陽生元年	二十四侵衛。	三	楚惠王章元年	二十九侵鄭，圍曹。	五晉侵我。	十四	三	十四宋圍我，鄭救我。	十三	五	八魯會我繒。
487	甲寅	三十三	八吳為邾伐我，至城下，盟而去。齊取我三邑。	二伐魯，取三邑。	二十五	四	二子西召建子勝於吳，為白公。	三十曹倍我，我滅之。	六	十五	四	十五宋滅曹，虜伯陽。	十四	六	九伐魯。
486		三十四	九	三	二十六	五	三伐陳，陳與吳故。	三十一鄭圍我，敗之于雍丘。	七	十六倍楚，與吳成。	五		十五圍宋，敗我師雍丘，伐我。	七	十
485		三十五	十與吳伐齊。	四吳、魯伐我。鮑子殺悼公，齊人立其子壬為簡公。	二十七使趙鞅伐齊。	六	四伐陳。	三十二伐鄭。	八孔子自陳來。	十七	六		十六	八	十一與魯伐齊救陳。誅五員。
484		三十六	十一齊伐我。冉有言，故迎孔子，孔子歸。	齊簡公元年魯與吳敗我。	二十八	七	五	三十三	九孔子歸魯。	十八	七		十七	九	十二與魯敗齊。
483		三十七	十二與吳會橐皋。用田賦。	二	二十九	八	六白公勝數請子西伐鄭，以父怨故。	三十四	十公如晉，與吳會橐皋。	十九	八		十八宋伐我。	十	十三與魯會橐皋。
482		三十八	十三與吳會黃池。	三	三十與吳會黃池，爭長。	九	七伐陳。	三十五鄭敗我師。	十一	二十	九		十九敗宋師。	十一	十四與晉會黃池。
481		三十九	十四西狩獲麟。衛出公來奔。	四田常殺簡公，立其弟驁，為平公，常相之，專國權。	三十一	十	八	三十六	十二父蒯聵入，輒出亡。	二十一	十		二十	十二	十五
480		四十	十五子服景伯使齊，子貢為介，齊歸我侵地。	齊平公驁元年景公孫也。齊自是稱田氏。	三十二	十一	九	三十七熒惑守心，子韋曰「善。」	衛莊公蒯聵元年	二十二	十一		二十一	十三	十六
479		四十一	十六孔子卒。	二	三十三	十二	十白公勝殺令尹子西，攻惠王。葉公攻白公，白公自殺。惠王復國。	三十八	二	二十三楚滅陳，殺湣公。	十二		二十二	十四	十七
478		四十二	十七	三	三十四	十三	十一	三十九	三莊公辱戎州人，戎州人與趙簡子攻莊公，出奔。		十三		二十三	十五	十八越敗我。
477	甲子	四十三敬王崩。	十八二十七卒。	四二十五卒。	三十五三十七卒。	十四卒，子厲共公立。	十二五十七卒。	四十六十四卒。	衛君起元年石傅逐起出，輒復入。		十四十九卒		二十四三十八卒。	十六二十八卒。	十九二十三卒。


太史公曰：儒者斷其義，馳說者騁其辭，不務綜其終始；歷人取其年月，數家隆於神運，譜諜獨記世謚，其辭略，欲一觀諸要難。於是譜十二諸侯，自共和訖孔子，表見春秋、國語學者所譏盛衰大指著于篇，為成學治古文者要刪焉。

<p>Source: Chinese Text Project <a href="http://ctext.org/shiji">http://ctext.org/shiji</a> Partial translation adapted from Herbert J. Allen's "Ssŭma Ch'ien's Historical Records" (Royal Asiatic Society, 1894).</p>
